ano_comp;uf;adm_des;ibge_subsetor;saldo_mov
2009;22;1;5;35
2009;41;2;11;-47856
2009;51;2;19;-14109
2009;13;2;8;-1614
2009;23;1;2;4683
2009;31;1;6;15768
2009;22;2;8;-253
2009;15;1;11;1205
2009;43;2;21;-129442
2009;41;1;7;34557
2009;42;1;23;17332
2009;11;2;13;-8518
2009;17;1;21;4103
2009;53;2;25;-3413
2009;12;2;3;-75
2009;42;1;10;20556
2009;16;1;9;30
2009;42;2;14;-5187
2009;24;2;7;-736
2009;14;2;8;-70
2009;53;1;4;274
2009;23;1;16;69268
2009;29;2;22;-12847
2009;24;1;11;6267
2009;26;2;19;-60596
2009;29;2;1;-2497
2009;25;1;6;29
2009;51;1;15;36982
2009;32;1;2;8502
2009;11;1;24;2258
2009;16;2;17;-1057
2009;15;1;22;5360
2009;32;1;18;1472
2009;41;2;1;-1660
2009;31;1;15;318160
2009;23;2;25;-16850
2009;50;1;21;22269
2009;21;2;21;-15265
2009;13;2;24;-291
2009;32;1;12;546
2009;53;1;16;65875
2009;33;1;21;241818
2009;22;2;24;-61
2009;23;1;4;1180
2009;28;2;20;-2449
2009;42;2;3;-21434
2009;12;1;10;38
2009;12;2;14;-247
2009;26;1;6;2641
2009;41;2;22;-26238
2009;15;1;1;1869
2009;14;1;13;542
2009;25;2;19;-6224
2009;23;1;1;1026
2009;41;1;25;62632
2009;12;2;9;-77
2009;51;1;21;28398
2009;16;1;3;46
2009;28;1;23;3291
2009;41;2;4;-17815
2009;12;1;17;966
2009;17;1;15;12114
2009;24;1;18;431
2009;52;1;13;67558
2009;15;1;4;518
2009;27;2;13;-51936
2009;43;1;19;110362
2009;23;1;22;9196
2009;15;2;25;-30278
2009;29;2;16;-103767
2009;24;1;12;84
2009;35;1;13;264063
2009;42;1;17;34968
2009;32;1;11;9024
2009;53;1;1;236
2009;35;2;8;-46944
2009;52;2;8;-3354
2009;41;2;16;-248787
2009;27;1;8;181
2009;24;1;2;3173
2009;15;1;16;57528
2009;43;2;6;-13078
2009;52;1;5;429
2009;29;1;25;85476
2009;27;2;5;-21
2009;31;1;21;220737
2009;32;2;7;-4541
2009;50;1;15;23681
2009;21;2;15;-35848
2009;29;2;4;-7781
2009;16;1;14;567
2009;42;2;9;-10210
2009;16;2;10;-23
2009;33;1;15;167054
2009;53;1;22;12701
2009;35;1;5;36364
2009;50;1;24;431
2009;13;2;21;-19010
2009;53;1;14;819
2009;21;2;24;-258
2009;33;1;24;7542
2009;43;2;8;-11255
2009;53;2;10;-764
